Variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
Dy (ppm)	3.76	4.34	6.12	4.09	7.17	5.94	4.54	5.74	4.12	5.43	4.24	3.46	5.25	2.98	3.70	4.12	3.69	3.25	2.95	4.83
Ho (ppm)	0.80	0.82	1.22	0.80	1.48	1.22	1.01	1.07	0.91	1.17	0.87	0.71	1.04	0.56	0.80	0.80	0.71	0.60	0.58	1.00
Er (ppm)	2.27	2.56	3.53	2.43	4.33	3.37	2.90	3.23	2.65	3.41	2.49	1.98	2.84	1.62	2.38	2.28	1.92	1.68	1.78	2.94
Yb (ppm)	2.46	2.67	3.53	2.65	4.84	3.63	2.94	3.47	2.72	3.59	2.77	2.12	2.74	1.79	2.53	2.35	2.08	1.82	1.88	3.10
Lu (ppm)	0.40	0.31	0.54	0.33	0.69	0.53	0.42	0.41	0.39	0.46	0.38	0.27	0.37	0.23	0.39	0.35	0.30	0.27	0.23	0.49
Hf (ppm)	11.22	7.64	10.79	12.98	25.96	16.50	11.10	15.76	9.06	16.43	7.92	5.22	4.55	4.21	7.57	9.00	10.08	6.59	4.38	8.55
Ta (ppm)	1.15	1.04	1.08	1.00	1.43	1.36	1.28	1.31	1.06	1.32	1.21	0.86	1.24	1.31	1.15	1.13	0.72	0.83	0.94	1.29
Pb (ppm)	21.26	19.41	24.48	21.09	26.00	20.14	23.43	23.90	20.59	24.09	21.24	21.87	21.38	16.63	29.02	27.50	19.42	16.96	20.07	20.48
Th (ppm)	15.99	13.57	19.50	16.64	30.94	25.05	19.27	23.57	15.26	27.96	17.07	18.30	29.76	12.88	22.13	22.60	18.93	10.61	12.21	16.54
U (ppm)	3.50	2.87	5.12	3.35	5.63	4.00	3.41	4.75	3.29	5.02	2.51	2.89	9.73	2.50	5.88	4.65	3.29	3.20	18.77	4.85
